Article_Source,Article_Cible
1,17
5,18
6,19
7,21
8,22
9,23
10,24
11,25
12,26
13,6
13,28
14,29
15,30
16,32
16,31
17,33
18,34
19,35
20,36
21,38
23,39
24,7
24,40
25,41
26,42
27,43
28,44
29,44
30,45
31,46
32,47
36,48
37,49
38,26
38,49
39,50
39,8
40,51
41,53
42,54
43,55
44,56
45,58
45,57
46,59
47,60
48,61
50,9
50,63
50,62
51,64
64,10
